,serohikino_goshu.txt,kumono_ito.txt,souseki_AI.txt,ginga_tetsudono_yoru.txt,rashomon.txt,sorekara.txt,kokoro.txt
ぽくぽく,0.0,0.0,0.0,1.0,0.0,0.0,0.0
斯う,0.0,0.0,0.0,4.0,0.0,0.0,0.0
たゞ,0.0,0.0,0.0,7.0,0.0,0.0,0.0
おなじ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ぎゃあぎゃあ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ほくほく,0.0,0.0,0.0,1.0,0.0,0.0,0.0
却って,0.0,0.0,0.0,1.0,0.0,34.0,0.0
恰度,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ち,0.0,0.0,0.0,1.0,0.0,1.0,0.0
くつくつ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
全く,0.0,0.0,0.0,1.0,0.0,48.0,41.0
大した,0.0,0.0,0.0,3.0,0.0,8.0,10.0
なるほど,0.0,0.0,0.0,1.0,0.0,5.0,9.0
又,0.0,0.0,0.0,2.0,0.0,221.0,0.0
はじめて,0.0,0.0,0.0,1.0,1.0,0.0,1.0
そ,0.0,0.0,0.0,3.0,0.0,0.0,0.0
つやつや,0.0,0.0,0.0,1.0,0.0,0.0,0.0
一ぱい,0.0,0.0,0.0,2.0,0.0,0.0,0.0
しくしく,0.0,0.0,0.0,1.0,0.0,0.0,0.0
まだまだ,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ずんずん,0.0,0.0,0.0,1.0,0.0,0.0,2.0
たちまち,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ぐったり,0.0,0.0,0.0,1.0,0.0,0.0,0.0
つくづく,0.0,0.0,0.0,1.0,0.0,5.0,1.0
ひとりでに,0.0,0.0,0.0,2.0,0.0,0.0,0.0
たいてい,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ぱっちり,0.0,0.0,0.0,1.0,0.0,0.0,0.0
にこにこ,0.0,0.0,0.0,2.0,0.0,1.0,0.0
かさん,0.0,0.0,0.0,2.0,0.0,0.0,0.0
すうっ,0.0,0.0,0.0,3.0,0.0,0.0,0.0
いっぱい,0.0,0.0,0.0,1.0,0.0,0.0,3.0
ぞくっ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ぴん,0.0,0.0,0.0,1.0,0.0,0.0,0.0
さめざめ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
さっさっ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ざあっ,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ぴしゃ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
さやさや,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ぶっ,0.0,0.0,0.0,2.0,0.0,0.0,0.0
カチッ,0.0,0.0,0.0,2.0,0.0,0.0,0.0
一ばん,0.0,0.0,0.0,1.0,0.0,0.0,0.0
うっとり,0.0,0.0,0.0,1.0,0.0,0.0,0.0
突然,0.0,0.0,0.0,1.0,0.0,26.0,47.0
ふらふら,0.0,0.0,0.0,1.0,0.0,3.0,3.0
何せ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
しょんぼり,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ちら,0.0,0.0,0.0,1.0,0.0,0.0,0.0
やうやく,0.0,0.0,0.0,1.0,0.0,0.0,0.0
どぉ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ほ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
きちっと,0.0,0.0,0.0,1.0,0.0,0.0,0.0
で,0.0,0.0,0.0,1.0,0.0,4.0,1.0
ぢゃ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ぽかっ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ふう,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ぎくっ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
殊に,0.0,0.0,0.0,1.0,0.0,5.0,0.0
ひそひそ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
どて,0.0,0.0,0.0,1.0,0.0,0.0,0.0
わくわく,0.0,0.0,0.0,2.0,0.0,1.0,0.0
きっぱり,0.0,0.0,0.0,1.0,0.0,2.0,0.0
しげしげ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
及び,0.0,0.0,0.0,1.0,0.0,1.0,0.0
なお,0.0,0.0,0.0,1.0,0.0,1.0,19.0
何故,0.0,0.0,0.0,0.0,2.0,36.0,0.0
格別,0.0,0.0,0.0,0.0,1.0,1.0,2.0
いまだ,0.0,0.0,0.0,0.0,1.0,1.0,4.0
当然,0.0,0.0,0.0,0.0,1.0,2.0,4.0
ともかく,0.0,0.0,0.0,0.0,1.0,1.0,3.0
しかも,0.0,0.0,0.0,0.0,2.0,9.0,18.0
恐る恐る,0.0,0.0,0.0,0.0,1.0,0.0,0.0
かつて,0.0,0.0,0.0,0.0,1.0,5.0,14.0
ごろごろ,0.0,0.0,0.0,0.0,1.0,1.0,4.0
一層,0.0,0.0,0.0,0.0,2.0,8.0,4.0
ことごとく,0.0,0.0,0.0,0.0,1.0,0.0,0.0
多分,0.0,0.0,0.0,0.0,1.0,1.0,0.0
むしろ,0.0,0.0,0.0,0.0,1.0,0.0,43.0
恐らく,0.0,0.0,0.0,0.0,1.0,2.0,2.0
既に,0.0,0.0,0.0,0.0,1.0,22.0,0.0
わなわな,0.0,0.0,0.0,0.0,1.0,0.0,0.0
全然,0.0,0.0,0.0,0.0,2.0,5.0,1.0
成程,0.0,0.0,0.0,0.0,1.0,0.0,0.0
何ぼ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
じゃ,0.0,0.0,0.0,0.0,2.0,42.0,10.0
されば,0.0,0.0,0.0,0.0,1.0,0.0,0.0
て,0.0,0.0,0.0,0.0,1.0,12.0,12.0
大方,0.0,0.0,0.0,0.0,1.0,2.0,6.0
己,0.0,0.0,0.0,0.0,1.0,3.0,0.0
如何に,0.0,0.0,0.0,0.0,0.0,13.0,0.0
ぞっと,0.0,0.0,0.0,0.0,0.0,4.0,3.0
此,0.0,0.0,0.0,0.0,0.0,29.0,1.0
其,0.0,0.0,0.0,0.0,0.0,74.0,0.0
はたり,0.0,0.0,0.0,0.0,0.0,1.0,1.0
かつ,0.0,0.0,0.0,0.0,0.0,12.0,3.0
ふっくら,0.0,0.0,0.0,0.0,0.0,3.0,0.0
尤も,0.0,0.0,0.0,0.0,0.0,33.0,0.0
別段,0.0,0.0,0.0,0.0,0.0,11.0,5.0
到底,0.0,0.0,0.0,0.0,0.0,8.0,8.0
稍,0.0,0.0,0.0,0.0,0.0,9.0,0.0
ちっと,0.0,0.0,0.0,0.0,0.0,2.0,1.0
大いに,0.0,0.0,0.0,0.0,0.0,23.0,1.0
